key,name_uk,name_en,center_uk,center_en,area_km2,pop_k
UA-07,Волинська область,Volyn Oblast,Луцьк,Lutsk,20144,1021
UA-56,Рівненська область,Rivne Oblast,Рівне,Rivne,20047,1141
UA-18,Житомирська область,Zhytomyr Oblast,Житомир,Zhytomyr,29832,1179
UA-32,Київська область,Kyiv Oblast,Київ,Kyiv,28131,1788
UA-30,Київ,Kyiv City,Київ,Kyiv,839,2952
UA-74,Чернігівська область,Chernihiv Oblast,Чернігів,Chernihiv,31865,959
UA-59,Сумська область,Sumy Oblast,Суми,Sumy,23834,1035
UA-63,Харківська область,Kharkiv Oblast,Харків,Kharkiv,31415,2598
UA-09,Луганська область,Luhansk Oblast,Луганськ,Luhansk,26684,2102
UA-14,Донецька область,Donetsk Oblast,Донецьк,Donetsk,26517,4059
UA-23,Запорізька область,Zaporizhzhia Oblast,Запоріжжя,Zaporizhzhia,27180,1613
UA-65,Херсонська область,Kherson Oblast,Херсон,Kherson,28461,1001
UA-43,Автономна Республіка Крим,Autonomous Republic of Crimea,Сімферополь,Simferopol,26081,1913
UA-40,Севастополь,Sevastopol,Севастополь,Sevastopol,864,449
UA-48,Миколаївська область,Mykolaiv Oblast,Миколаїв,Mykolaiv,24598,1091
UA-51,Одеська область,Odesa Oblast,Одеса,Odesa,33310,2351
UA-05,Вінницька область,Vinnytsia Oblast,Вінниця,Vinnytsia,26513,1509
UA-68,Хмельницька область,Khmelnytskyi Oblast,Хмельницький,Khmelnytskyi,20645,1229
UA-61,Тернопільська область,Ternopil Oblast,Тернопіль,Ternopil,13823,1021
UA-46,Львівська область,Lviv Oblast,Львів,Lviv,21833,2478
UA-21,Закарпатська область,Zakarpattia Oblast,Ужгород,Uzhhorod,12777,1244
UA-26,Івано-Франківська область,Ivano-Frankivsk Oblast,Івано-Франківськ,Ivano-Frankivsk,13928,1351
UA-77,Чернівецька область,Chernivtsi Oblast,Чернівці,Chernivtsi,8097,890
UA-71,Черкаська область,Cherkasy Oblast,Черкаси,Cherkasy,20900,1151
UA-35,Кіровоградська область,Kirovohrad Oblast,Кропивницький,Kropyvnytskyi,24588,906
UA-53,Полтавська область,Poltava Oblast,Полтава,Poltava,28748,1362
UA-12,Дніпропетровська область,Dnipropetrovsk Oblast,Дніпро,Dnipro,31914,3096
